0	00	000	^@	'\0'	NUL	ヌル
1	01	001	^A		SOH	ヘッダ開始
2	02	002	^B		STX	テキスト開始
3	03	003	^C		ETX	テキスト終了
4	04	004	^D		EOT	転送終了
5	05	005	^E		ENQ	紹介
6	06	006	^F		ACK	受信OK
7	07	007	^G	'\a'	BEL	ベル 警告
8	08	010	^H	'\b'	BS	バックスペース
9	09	011	^I	'\t'	HT	水平タブ
10	0A	012	^J	'\n'	LF/NL	復帰/改行
11	0B	013	^K		VT	垂直タブ
12	0C	014	^L	'\f'	FF	改ページ
13	0D	015	^M	'\r'	CR	復帰
14	0E	016	^N		SO	シフトアウト
15	0F	017	^O		SI	シフトイン
16	10	020	^P		DLE	データリンクエスケープ
17	11	021	^Q		DC1	制御装置1
18	12	022	^R		DC2	制御装置2
19	13	023	^S		DC3	制御装置3
20	14	024	^T		DC4	制御装置4
21	15	025	^U		NAC	受信失敗
22	16	026	^V		SYN	同期
23	17	027	^W		ETB	転送ブロック終了
24	18	030	^X		CAN	取消
25	19	031	^Y		EM	メディア終了
26	1A	032	^Z		SUB	置換           EOF 制御コード
27	1B	033	^[	'\x1B'	ESC	(制御コード)エスケープ \e
28	1C	034	^\		FS	ファイルセパレータ
29	1D	035	^]		GS	グループセパレータ
30	1E	036	^^		RS	レコードセパレータ
31	1F	037	^_		US	ユニットセパレータ
32	20	040	 		SP	(半角)スペース         \s
33	21	041	!		びっくり
34	22	042	"
35	23	043	#
36	24	044	$
37	25	045	%
38	26	046	&
39	27	047	'
40	28	050	(
41	29	051	)
42	2A	052	*
43	2B	053	+
44	2C	054	,		カンマ
45	2D	055	-		ハイフン
46	2E	056	.		ピリオド
47	2F	057	/
48	30	060	0
49	31	061	1
50	32	062	2
51	33	063	3
52	34	064	4
53	35	065	5
54	36	066	6
55	37	067	7
56	38	070	8
57	39	071	9
58	3A	072	:
59	3B	073	;
60	3C	074	<
61	3D	075	=
62	3E	076	>
63	3F	077	?
64	40	100	@
65	41	101	A
66	42	102	B
67	43	103	C
68	44	104	D
69	45	105	E
70	46	106	F
71	47	107	G
72	48	110	H
73	49	111	I
74	4A	112	J
75	4B	113	K
76	4C	114	L
77	4D	115	M
78	4E	116	N
79	4F	117	O
80	50	120	P
81	51	121	Q
82	52	122	R
83	53	123	S
84	54	124	T
85	55	125	U
86	56	126	V
87	57	127	W
88	58	130	X
89	59	131	Y
90	5A	132	Z
91	5B	133	[
92	5C	134	\
93	5D	135	]
94	5E	136	^
95	5F	137	_		アンダーバー (あんすこ)
96	60	140	`
97	61	141	a
98	62	142	b
99	63	143	c
100	64	144	d
101	65	145	e
102	66	146	f
103	67	147	g
104	68	150	h
105	69	151	i
106	6A	152	j
107	6B	153	k
108	6C	154	l
109	6D	155	m
110	6E	156	n
111	6F	157	o
112	70	160	p
113	71	161	q
114	72	162	r
115	73	163	s
116	74	164	t
117	75	165	u
118	76	166	v
119	77	167	w
120	78	170	x
121	79	171	y
122	7A	172	z
123	7B	173	{
124	7C	174	|
125	7D	175	}
126	7E	176	~
127	7F	177	^?	'\x7F'	DEL	削除
128	80	200	M-^@
129	81	201	M-^A
130	82	202	M-^B
131	83	203	M-^C
132	84	204	M-^D
133	85	205	M-^E
134	86	206	M-^F
135	87	207	M-^G
136	88	210	M-^H
137	89	211	M-^I
138	8A	212	M-^J
139	8B	213	M-^K
140	8C	214	M-^L
141	8D	215	M-^M
142	8E	216	M-^N
143	8F	217	M-^O
144	90	220	M-^P
145	91	221	M-^Q
146	92	222	M-^R
147	93	223	M-^S
148	94	224	M-^T
149	95	225	M-^U
150	96	226	M-^V
151	97	227	M-^W
152	98	230	M-^X
153	99	231	M-^Y
154	9A	232	M-^Z
155	9B	233	M-^[
156	9C	234	M-^\
157	9D	235	M-^]
158	9E	236	M-^^
159	9F	237	M-^_
160	A0	240	M- 			メタスペース
161	A1	241	M-!	｡
162	A2	242	M-"	｢
163	A3	243	M-#	｣
164	A4	244	M-$	､
165	A5	245	M-%	･
166	A6	246	M-&	ｦ
167	A7	247	M-'	ｧ
168	A8	250	M-(	ｨ
169	A9	251	M-)	ｩ
170	AA	252	M-*	ｪ
171	AB	253	M-+	ｫ
172	AC	254	M-,	ｬ
173	AD	255	M--	ｭ
174	AE	256	M-.	ｮ
175	AF	257	M-/	ｯ
176	B0	260	M-0	ｰ
177	B1	261	M-1	ｱ
178	B2	262	M-2	ｲ
179	B3	263	M-3	ｳ
180	B4	264	M-4	ｴ
181	B5	265	M-5	ｵ
182	B6	266	M-6	ｶ
183	B7	267	M-7	ｷ
184	B8	270	M-8	ｸ
185	B9	271	M-9	ｹ
186	BA	272	M-:	ｺ
187	BB	273	M-;	ｻ
188	BC	274	M-<	ｼ
189	BD	275	M-=	ｽ
190	BE	276	M->	ｾ
191	BF	277	M-?	ｿ
192	C0	300	M-@	ﾀ
193	C1	301	M-A	ﾁ
194	C2	302	M-B	ﾂ
195	C3	303	M-C	ﾃ
196	C4	304	M-D	ﾄ
197	C5	305	M-E	ﾅ
198	C6	306	M-F	ﾆ
199	C7	307	M-G	ﾇ
200	C8	310	M-H	ﾈ
201	C9	311	M-I	ﾉ
202	CA	312	M-J	ﾊ
203	CB	313	M-K	ﾋ
204	CC	314	M-L	ﾌ
205	CD	315	M-M	ﾍ
206	CE	316	M-N	ﾎ
207	CF	317	M-O	ﾏ
208	D0	320	M-P	ﾐ
209	D1	321	M-Q	ﾑ
210	D2	322	M-R	ﾒ
211	D3	323	M-S	ﾓ
212	D4	324	M-T	ﾔ
213	D5	325	M-U	ﾕ
214	D6	326	M-V	ﾖ
215	D7	327	M-W	ﾗ
216	D8	330	M-X	ﾘ
217	D9	331	M-Y	ﾙ
218	DA	332	M-Z	ﾚ
219	DB	333	M-[	ﾛ
220	DC	334	M-\	ﾜ
221	DD	335	M-]	ﾝ
222	DE	336	M-^	ﾞ
223	DF	337	M-_	ﾟ
224	E0	340	M-`
225	E1	341	M-a
226	E2	342	M-b
227	E3	343	M-c
228	E4	344	M-d
229	E5	345	M-e
230	E6	346	M-f
231	E7	347	M-g
232	E8	350	M-h
233	E9	351	M-i
234	EA	352	M-j
235	EB	353	M-k
236	EC	354	M-l
237	ED	355	M-m
238	EE	356	M-n
239	EF	357	M-o
240	F0	360	M-p
241	F1	361	M-q
242	F2	362	M-r
243	F3	363	M-s
244	F4	364	M-t
245	F5	365	M-u
246	F6	366	M-v
247	F7	367	M-w
248	F8	370	M-x
249	F9	371	M-y
250	FA	372	M-z
251	FB	373	M-{
252	FC	374	M-|
253	FD	375	M-}
254	FE	376	M-~
255	FF	377	M-^?
