Page.1
Send ^[ [27;5;9~                                                ^Tab
Send ^[ [27;3;9~                                                opt Tab
Send ^[ [27;7;9~                                                ^ opt Tab
Send ^[ [27;5;13~                                               ^Return
Send ^[ [27;7;13~                                               ^ opt Return
Send ^[ [27;6;9~                                                ^⬆️ Tab
Send ^[ [27;4;9~                                                opt ⬆️ Tab
Send ^[ [27;8;9~                                                ^ opt ⬆️ Tab
Send ^[ [27;2;32~                                               ⬆️ Space
Send ^[ [27;6;32~                                               ^ ⬆️ Space
Send ^[ [27;4;32~                                               opt ⬆️ Space
Send ^[ [27;7;32~                                               ^ opt Space
Send ^[ [27;8;32~                                               ^ opt ⬆️ Space
Send ^[ [27;6;34~                                               ^⬆️ "
Send ^[ [27;8;34~                                               ^ opt ⬆️ "
Send ^[ [27;5;39~                                               ^⬆️ '
Send ^[ [27;7;39~                                               ^ opt ⬆️ '
Send Hex Codes: 0x18 0x40 0x73 0x27                             ⬆️ command '
Page.2
Send ^[ [27;5;44~                                               ^,
Send ^[ [27;7;45~                                               ^ opt -
Send ^[ [27;5;46~                                               ^.
Send ^[ [27;5;47~                                               ^/
Send ^[ [27;7;47~                                               ^ opt /
Send Hex Codes: 0x00                                            ^2
Send Hex Codes: 0x1b                                            ^3
Send Hex Codes: Ox1c                                            ^4
Send Hex Codes: Ox1d                                            ^5
Send Hex Codes: Ox1e                                            ^6
Send Hex Codes: Ox1f                                            ^7
Send Hex Codes: 0x7f                                            ^8
Send ^[ [27;6;58~                                               ^:
Send ^[ [27;8;58~                                               ^ opt :
Send Hex Codes: 0x18 0x40 0x73 0x3A                             command :
Send ^[ [27;6;60~                                               ^⬆️ <
Send ^[ [27;8;60~                                               ^ opt ⬆️ <
Send ^[ [27;5;61~                                               ^⬆️ =
Page.3
Send ^[ [27;7;61~                                               ^ opt ⬆️ =
Send ^[ [27;6;62~                                               ^⬆️ >
Send ^[ [27;8;62~                                               ^ opt ⬆️ >
Send Hex Codes: 0x18 0x40 0x73 0x3F                             ⬆️ command ?
Send Hex Codes: 0x1B 0x73 0x40 0x53 0x01                        ^⬆️ А
Send Hex Codes: 0x1b 0x1b 0x73 0x40 0x53 0x01                   ^ opt ⬆️ А
Send Hex Codes: 0x1B 0x73 0x40 0x53 0x02                        ^⬆️ B
Send Hex Codes: 0x1b 0x1b 0x73 0x40 0x53 0x02                   ^ opt ⬆️ B
Send Hex Codes: 0x1b 0x1b 0x73 0x40 0x53 0x04                   ^ opt ⬆️ D
Send Hex Codes: 0x18 0x40 0x73 0x44                             ⬆️ command D
Send Hex Codes: 0x1B 0x73 0x40 0x53 0x05                        ^⬆️ E
Send Hex Codes: 0x1b 0x1b 0x73 0x40 0x53 0x05                   ^ opt ⬆️ E
Send Hex Codes: 0x18 0x40 0x73 0x45                             ⬆️ command E
Send Hex Codes: 0x1B 0x73 0x40 0x53 0x06                        ^⬆️ F
Send Hex Codes: 0x1b 0x1b 0x73 0x40 0x53 0x06                   ^ opt ⬆️ F
Send: "\es@sF"                                                  ⬆️ command F
Send: "\e\es@sF"                                                opt ⬆️ command F
Send Hex Codes: 0x1B 0x73 0x40 0x53 0x0B                        ^⬆️ K
Page.4
Send Hex Codes: 0x1b 0x1b 0x73 0x40 0x53 0x0c                   ^ opt ⬆️ L
Send Hex Codes: 0x18 0x40 0x73 0x4C                             ⬆️ command L
Send Hex Codes: 0x18 0x40 0x73 0x4D                             ⬆️ command M
Send Hex Codes: 0x1B 0x73 0x40 0x53 0x0E                        ^⬆️ N
Send Hex Codes: 0x1b 0x1b 0x73 0x40 0x53 0x0e                   ^ opt ⬆️ N
Send: "\es@+C-S-s-n"                                            ^⬆️ command N
Send Hex Codes: 0x1B 0x73 0x40 0x53 0x10                        ^⬆️ P
Send Hex Codes: 0x1b 0x1b 0x73 0x40 0x53 0x10                   ^ opt ⬆️ P
Send: "\es@+C-S-s-p"                                            ^⬆️ command P
Send Hex Codes: 0x1b 0x1b 0x73 0x40 0x53 0x15                   ^ opt ⬆️ U
Send Hex Codes: 0x1B 0x73 0x40 0x53 0x16                        ^⬆️ V
Send Hex Codes: 0x1b 0x1b 0x73 0x40 0x53 0x16                   ^ opt ⬆️ V
Send Hex Codes: 0x1B 0x73 0x40 0x53 0x17                        ^⬆️ W
Send Hex Codes: 0x18 0x40 0x73 0x5E                             command ^
Send ^[ [27;6;96~                                               ^⬆️ `
Send ^[ [27;8;96~                                               ^ opt ⬆️ `
Send Hex Codes: 0x18 0x40 0x73 0x60                             ⬆️ command `
Send Hex Codes: 0x18 0x40 0x73 0x61                             command a
Page.5
Send Hex Codes: 0x18 0x40 0x73 0x63                             command c
Send Hex Codes: 0x18 0x40 0x73 0x64                             command d
Send Hex Codes: 0x18 0x40 0x73 0x65                             command e
Send: "\es@sf"                                                  command f
Send: "\ee\es@sf"                                               opt command f
Send Hex Codes: 0x18 0x40 0x73 0x67                             command g
Send Hex Codes: 0x18 0x40 0x73 0x6A                             command j
Send Hex Codes: 0x18 0x40 0x73 0x6B                             command k
Send Hex Codes: 0x18 0x40 0x73 0x6C                             command l
Send Hex Codes: 0x18 0x40 0x73 0x6E                             command n
Send Hex Codes: 0x18 0x40 0x73 0x0e                             ^command n
Send Hex Codes: 0x18 0x40 0x73 0x10                             ^command p
Send: "\<C-x>\<C-c>"                                            opt command q
Ignore                                                          command r
Send Hex Codes: 0x18 0x40 0x73 0x73                             command s
Send Hex Codes: 0x18 0x40 0x73 0x75                             command u
Send Hex Codes: 0x18 0x40 0x73 0x76                             command v
Send Hex Codes: 0x18 0x40 0x73 0x77                             command w
Page.6
Send Hex Codes: 0x18 0x40 0x73 0x78                             command x
Ignore                                                          command y
Send Hex Codes: 0x18 0x40 0x73 0x7a                             command z
Sehd ^[ [27:6:123~                                              ^⬆️ {
Sehd ^[ [27:8:123~                                              ^ opt ⬆️ {
Sehd ^[ [27:8:124~                                              ^ opt ⬆️ |
Send Hex Codes: 0x18 0x40 0x73 0x7C                             ⬆️ command |
Send ^[ [27:6:125~                                              ^⬆️ }
Send ^[ [27:8:125~                                              ^ opt ⬆️ }
Send ^[ [27:8:126~                                              ^ opt ⬆️ ~
Send Hex Codes: 0x18 0x40 0x73 0x7E                             ⬆️ command ~
Send ^[ [27:2:127~                                              ⬆️ ← delete
Send ^[ [27:5:127~                                              ^️← delete
Send ^[ [27:6:127~                                              ^⬆️ ← delete
Send ^[ [27:4:127~                                              opt ⬆️ ← delete
Send ^[ [27:7:127~                                              ^ opt ← delete
Send ^[ [27:8:127~                                              ^ opt ⬆️ ← delete
Send ^[ \                                                       opt ¥
Page.7
Send ^[ [1;2A                                                   ⬆️ ↑
Send ^[ [1;5A                                                   ^↑
Send ^[ [1;6A                                                   ^⬆️ ↑
Send ^[ [1;3A                                                   opt ↑
